Candidato - nome de urna,Part./Colig.,Votos,% (*)
BµRBARA GUILHERME,PTB,47,0
BARBOSA DAS CORRIDAS DE RUA,PTC,426,"0,04"
BEBEL,PT,540,"0,05"
BEBEL DO MERCADO,DEM,103,"0,01"
BEL LIMA,REDE,82,"0,01"
BELLA GONÄALVES,PSOL,6954,"0,6"
BENEDITO MATEUS,PV,172,"0,01"
BENJAMIM DA DISTRIBUIDORA,PL,167,"0,01"
BERê SILVA,PTB,175,"0,01"
BERNARDO SAFAR BARAKAT,AVANTE,225,"0,02"
BETH RODRIGUES,REDE,43,0
BETO DO S«O BERNARDO,MDB,929,"0,08"
BETO FUTEV‚LEI,PATRIOTA,29,0
BETO MEC«NICO,PDT,179,"0,02"
BIANCA ANGEL,PROS,2,0
BIGODE DAS LATINHAS,PSC,97,"0,01"
BILL DO PROJETO,PTB,794,"0,07"
BIM DA AMBUL∂NCIA,PSD,6022,"0,52"
BIM DA KEL,PTC,384,"0,03"
BINHA DA COL‡,PMN,258,"0,02"
BISMARCK GOUVEA,PL,213,"0,02"
BOI,PATRIOTA,263,"0,02"
BRAND«O DA LIVRARIA,PDT,87,"0,01"
BRAULIO LARA,NOVO,5776,"0,49"
BRAYAN FREDERICO,CIDADANIA,435,"0,04"
BRENDA CRISTINA,REPUBLICANOS,57,0
BRENO BAETA,NOVO,375,"0,03"
BRENO NOLASCO ONG OPORTUNIDADE,AVANTE,3298,"0,28"
BRENO RICARDO,CIDADANIA,327,"0,03"
BRENO T‡TOLI,PMN,25,0
BREOSO,PODE,125,"0,01"
BRUNA BUENO,PDT,1619,"0,14"
BRUNO ANGELI,PROS,302,"0,03"
BRUNO BUENO,REPUBLICANOS,151,"0,01"
BRUNO GLEIDSON,PROS,513,"0,04"
BRUNO MIRANDA,PDT,5178,"0,44"
BRUNO RAFAEL,PT,155,"0,01"
BRUNO SALDANHA,PRTB,649,"0,06"
BUTINADA,REDE,176,"0,02"
CABO ALEXSANDER,PSDB,463,"0,04"
CABO DIMITRE,REDE,155,"0,01"
CABO ROMULO SANTIAGO BH,PRTB,175,"0,01"
CABO VENANCIO PRIMO,AVANTE,1228,"0,11"
CABRAL,PL,165,"0,01"
CAIO BELLOTE,PMN,1368,"0,12"
CAMARGOS DA PROPAGANDA,PTC,761,"0,07"
CAMILA CASQUINHA,PV,474,"0,04"
CAMILA GOMES,DC,3,0
CANTOR CARLOS MAGNO,PSB,150,"0,01"
CANTOR JO«O DO POV«O,PSD,61,"0,01"
CANTOR SERGINHO MARTINELLI,SOLIDARIEDADE,695,"0,06"
CANTORA BETH REIS,PSL,122,"0,01"
CARLA AUTO ESCOLA,SOLIDARIEDADE,141,"0,01"
CARLA DO TREVO,AVANTE,39,0
CARL«O,SOLIDARIEDADE,295,"0,03"
CARLIM DO BURITAXI,PSC,379,"0,03"
CARLINHOS DO SERRA VERDE,PMN,2,0
CARLIT«O NO TRANSITO,PV,38,0
CARLOS CRUZ,DEM,230,"0,02"
CARLOS FERRER BAIANO,PDT,439,"0,04"
CARLOS HENRIQUE,PTB,2945,"0,25"
CARLOS HENRIQUE QUEIROZ,PRTB,756,"0,06"
CARLOS JÈNIOR DA PERFECTFILM,REPUBLICANOS,163,"0,01"
CARLOS MAGNO,PTC,133,"0,01"
CARLOS MONTEIRO,REPUBLICANOS,183,"0,02"
CARLOS PEREIRA,PC do B,107,"0,01"
CARLÈCIO GONÄALVES,SOLIDARIEDADE,1335,"0,11"
CARMINHA DA SAUDE,PMN,486,"0,04"
CAROL BARCELOS,REPUBLICANOS,36,0
CAROL BRACHO,PODE,13,0
CAROL RAMOS,PSDB,196,"0,02"
CAROLINA GONCALVES,DC,4,0
CARTER MORATTO,PDT,41,0
CAS«O V8 ARAXIDE,PSC,102,"0,01"
CASSIA HELENA,PC do B,52,0
CATATAU DO POVO,PSD,4007,"0,34"
CATIA SILENE,PL,142,"0,01"
CELESTE,REDE,36,0
CELINHO,PSOL,104,"0,01"
CêLIO ELIAS,PCO,63,"0,01"
CELS«O,SOLIDARIEDADE,426,"0,04"
CELSO DE DEUS,PDT,326,"0,03"
CêSAR GORDIN,PROS,4748,"0,41"
CêSAR SALES,PP,728,"0,06"
CHARLES AUGUSTO,PP,1135,"0,1"
CHARLES BRASILEIRO ,PDT,1371,"0,12"
CHEILA DO BOM JESUS,DEM,90,"0,01"
CHERO,PROS,666,"0,06"
CHEVREUX DIAS,PMN,144,"0,01"
CICERA DA UPA,PMN,26,0
CICERO RAMOS,DC,97,"0,01"
CIDA,PC do B,24,0
CIDA ALVES,PC do B,167,"0,01"
CIDA DO BAR,DEM,127,"0,01"
CIDA FALABELLA,PSOL,6451,"0,55"
CIDA FEIRA MIX,MDB,92,"0,01"
CIDINHA CAMPOS,PSC,1805,"0,15"
CINARA CUNHA,PODE,93,"0,01"
CINARA DO QUEIJO,PP,114,"0,01"
CINTIA,PV,21,0
CINTIA COSTA,PRTB,120,"0,01"
C÷NTIA DA VAN,PROS,3,0
C÷NTIA MORENO,PP,747,"0,06"
CINTIA VIEIRA,PATRIOTA,158,"0,01"
CIRO PEREIRA,PTB,4340,"0,37"
CLµUDIA ALVES,NOVO,456,"0,04"
CLAUDIA FILHA DO JO«O,PMN,41,0
CLAUDIANO MANSUR,DEM,77,"0,01"
CLAUDINEI ROCHA,REPUBLICANOS,375,"0,03"
CLAUDIO  COSTA,PRTB,246,"0,02"
CLAUDIO CALOQUINHA,PMN,1753,"0,15"
CLAUDIO CARDOSO,PMN,113,"0,01"
CLµUDIO DO  MUNDO NOVO,PSD,6268,"0,54"
CLµUDIO DO PV,PV,47,0
CLµUDIO OLIVEIRA,SOLIDARIEDADE,698,"0,06"
CLµUDIO RAULSEIXISTA,PSDB,146,"0,01"
CLAUDIONOR CRUZ,DEM,23,0
CLAYSSON RODOVIµRIO,PSDB,244,"0,02"
CLAYTON BERTOLDO,REDE,1231,"0,11"
CLEBER HOT DOG,PT,154,"0,01"
CLECIO DORNELAS,PT,193,"0,02"
CLEIBER PEREIRA,PODE,238,"0,02"
CLEITON XAVIER,PMN,4481,"0,38"
CLêLIO ALVES,REDE,726,"0,06"
CLEMILDA ROMEIRO,PODE,126,"0,01"
CL“NEA RESENDE,CIDADANIA,63,"0,01"
CLEO SILVA,PSC,44,0
CLêRIA SALOMê,AVANTE,30,0
CLOVES BH,PP,1565,"0,13"
COLARES,REDE,1434,"0,12"
CONCEIÄ«O DA SILVA,PC do B,100,"0,01"
CORACI OLIVEIRA,SOLIDARIEDADE,668,"0,06"
CORONEL PICCININI,PSD,2122,"0,18"
CORONEL SIMIL,PRTB,423,"0,04"
CORRADI,PODE,321,"0,03"
COSTA VAL,PSD,484,"0,04"
CREUZONA,PROS,68,"0,01"
CRIS CABANA ,PMN,194,"0,02"
CRIS DO BAR,PTB,345,"0,03"
CRIS KUMAIRA,NOVO,1811,"0,15"
CRIS SANTOS BLOG DAS CRIS,SOLIDARIEDADE,152,"0,01"
CRISTIANA DO TAQUARIL,PSB,29,0
CRISTIANO BARCELLOS,PATRIOTA,380,"0,03"
CRISTIANO DA RADIO OURO MINAS,AVANTE,38,0
CRISTIANO GARI,MDB,208,"0,02"
CRISTIANO REIS,DEM,1083,"0,09"
CRISTIANO TOT‡,PV,345,"0,03"
CRISTIANO VIGILANTE,PROS,235,"0,02"
CRISTINA JUNIA ,PDT,214,"0,02"
CRISTINA MATOS,PSB,155,"0,01"
CRISTOV«O MOREIRA,PSC,81,"0,01"
DAI DIAS,PODE,3346,"0,29"
DANI SAVASSI,SOLIDARIEDADE,558,"0,05"
