Candidato - nome de urna,Part./Colig.,Votos,% (*)
GISELE DA MATA,NOVO,307,"0,03"
GISELE DO CERA,PSL,293,"0,03"
GLADSON REIS,PP,1122,"0,1"
GLADSTONE,PATRIOTA,90,"0,01"
GLAUBER CALAZANS,PL,304,"0,03"
GLAUCIA DOS EVENTOS,PV,156,"0,01"
GLAURIA LELIS,PSC,27,0
GLEINE CARVALHO,PRTB,780,"0,07"
GLEYK SILVEIRA,PSB,190,"0,02"
GODOFREDO ALEIXO,REPUBLICANOS,87,"0,01"
GORETE DO MOVIMENTO,PSB,224,"0,02"
GRAÄA DA PIPOCA,PL,122,"0,01"
GR«O MESTRE DUNGA,REDE,419,"0,04"
GRAZI ARAÈJO,PSC,67,"0,01"
GU,PSDB,73,"0,01"
GUD«O,PP,592,"0,05"
GUILHERME BHERING EMPREGOS BH ,SOLIDARIEDADE,672,"0,06"
GUILHERME DA FARMACIA,DEM,58,0
GUILHERME GIMENEZ,PODE,1295,"0,11"
GUILHERME NEVES,DEM,165,"0,01"
GUILHERME TAMPIERI,PSOL,1198,"0,1"
GUILHERME TRINTA,AVANTE,2158,"0,18"
GUIM PAGANNINY,PTC,506,"0,04"
GUINHO DISTRIBUIDORA POPULAR,PODE,1218,"0,1"
GUSTAVO BENTES,PATRIOTA,1141,"0,1"
GUSTAVO DAMµSIO,REPUBLICANOS,330,"0,03"
GUSTAVO PIRES,PROS,1240,"0,11"
GUSTTAVO APP,PSL,81,"0,01"
GUTO STENNER,PMN,934,"0,08"
HAISSA SIQUEIRA,PL,189,"0,02"
HAMILTON VIGILANTE,PP,502,"0,04"
HAROLDO DARTAGNAN,PC do B,443,"0,04"
HELH«O EDUCADOR,AVANTE,182,"0,02"
HELINHO DA FARMµCIA,PSD,7554,"0,65"
HêLIO COSTA,MDB,48,0
HELIO FILHO BH,NOVO,664,"0,06"
HêLIO KATU,MDB,133,"0,01"
HELIO MARCASSA,PDT,637,"0,05"
HELTON AIRONE,CIDADANIA,223,"0,02"
HELTON JUNIOR ,PDT,2309,"0,2"
HEMILY GABRIELE,REPUBLICANOS,18,0
HENRIQUE BRAGA,PSDB,4045,"0,35"
HENRIQUE FêLIX,PTC,128,"0,01"
HENRIQUE FERREIRA,MDB,23,0
HENRIQUE MENDES CAMPOS,PSC,478,"0,04"
HILDEBRANDO PEREIRA,PV,143,"0,01"
HILDINHA DA PRAÄA,PSD,383,"0,03"
HILTON PAIVA TIM,SOLIDARIEDADE,962,"0,08"
HOLSTEIN COUTINHO ,PATRIOTA,354,"0,03"
HORT“NCIA CONTADORA,SOLIDARIEDADE,913,"0,08"
HUDSON DINHO,PATRIOTA,457,"0,04"
HUDSON LUIZ,PSL,404,"0,03"
HUGLEIBER TEIXEIRA,REDE,2375,"0,2"
HUGO PERES,PDT,214,"0,02"
HUMBERTO GUERRA,MDB,62,"0,01"
IDêLCIO FERREIRA,REDE,2490,"0,21"
IEIê,CIDADANIA,40,0
IGOR VICTOR,PATRIOTA,160,"0,01"
IL÷DIO FERRARINHA,SOLIDARIEDADE,271,"0,02"
INHO DA BORRACHARIA,PTC,346,"0,03"
INSPETOR WILLIAN BRAGA,AVANTE,2108,"0,18"
INSTRUTOR REINALDO,PTC,3767,"0,32"
INSTRUTOR WELLINGTON,DEM,26,0
IRANI DO SUPLETIVO,AVANTE,41,0
IRINEU SILVEIRA,PATRIOTA,1152,"0,1"
IRIS,PP,23,0
IRLAN MELO,PSD,8902,"0,76"
IRM« CARLA,PODE,185,"0,02"
IRM« CIDA,MDB,116,"0,01"
ISRAEL FILHO,PATRIOTA,73,"0,01"
ISRAEL LETI,PATRIOTA,244,"0,02"
IVAN C∂NDIDO INST CAPRICHO,REDE,809,"0,07"
IVAN PAPO RETO,PSL,189,"0,02"
IVANI DO CARMO,PV,90,"0,01"
IVANI ROSA,PSL,202,"0,02"
IZA LOURENÄA,PSOL,7771,"0,67"
IZABELLA TURQUETTI,PC do B,52,0
IZAIAS DO RESTAURANTE,DC,229,"0,02"
IZAQUE FERNANDES,PTB,63,"0,01"
JACK DO BAIRRO GOI∂NIA,PP,129,"0,01"
JACKSON,PSOL,386,"0,03"
JACQUELINE BELICO,PTB,76,"0,01"
JADISON NANTES,REDE,804,"0,07"
JAIR DI GREG‡RIO,PSD,4123,"0,35"
JAIRO BARRIONI,PDT,321,"0,03"
JANAINA ALVES,PRTB,19,0
JANAINA ANDRADE,PMN,63,"0,01"
JANAINA CARDOSO,PSL,3717,"0,32"
JANA÷NA DE OLIVEIRA,PSDB,14,0
JANIO PAULO,DEM,1567,"0,13"
JAPOLINO DA AUTO ESCOLA,DEM,258,"0,02"
JAQUELINE ROSA,PL,123,"0,01"
JARDEL,PDT,688,"0,06"
JB JOAO BRAZ EVANGELISTA,PL,149,"0,01"
JEAN DUDU,PL,245,"0,02"
JEANINE,CIDADANIA,634,"0,05"
JEFFIM DA PUC,PT,83,"0,01"
JERRY LEITE,PSD,177,"0,02"
JESSICA NATANE,PMN,8,0
JHONNY DO SAL«O,MDB,136,"0,01"
J‚ DO PINDORAMA,PP,1561,"0,13"
J‚ FURBINO ARO,PL,101,"0,01"
J‚ MORAES,PC do B,4362,"0,37"
JOANA D ARC (DO NAZARê),PDT,102,"0,01"
JOANA RODRIGUES,PROS,105,"0,01"
JOANES SILVA,PSD,1334,"0,11"
JO«O BORRACHA,PODE,119,"0,01"
JO«O CARLOS JOHNNY,PROS,90,"0,01"
JO«O COLETA,CIDADANIA,300,"0,03"
JO«O DO ARMAZEM,PMN,307,"0,03"
JO«O DO BAR,REPUBLICANOS,284,"0,02"
JO«O DO FORRO,REPUBLICANOS,411,"0,04"
JO«O HENRIQUE HORTA MASCI,PDT,57,0
JO«O MARCELO SIMÂES,NOVO,180,"0,02"
JO«O MOREIRA,PSC,1025,"0,09"
JO«O OSCAR,AVANTE,1390,"0,12"
JO«O STOPPA,NOVO,530,"0,05"
JO«O VICTOR,PSB,64,"0,01"
JO«OZINHO DA AMBUL∂NCIA,SOLIDARIEDADE,460,"0,04"
JOAQUIM PEREIRA,CIDADANIA,107,"0,01"
J‚HNY FARMAC“UTICO,PTB,2122,"0,18"
JOINHA EDUARDO DE Sµ,AVANTE,322,"0,03"
JONATHAN ALEXANDER,PSL,31,0
JORGE GABRIEL,PT,346,"0,03"
JORGE HANNAS,SOLIDARIEDADE,1020,"0,09"
JORGE MµQUINAS,PDT,349,"0,03"
JORGE SANTOS,REPUBLICANOS,7691,"0,66"
JORGE TOMICH,PSC,154,"0,01"
JORJ«O DO SINTEEL,PC do B,57,0
JOSE ANGELO POETA,PV,37,0
JOSê ANT‚NIO SAGRADA FAMILIA,REPUBLICANOS,295,"0,03"
JOSE DIMAS,PMN,26,0
JOSê ESTEV«O - TAXISTA,REDE,390,"0,03"
JOSê FERREIRA PROJETO AJUDAI,PP,3311,"0,28"
JOSE FRANCISCO ,PMN,33,0
JOSE GONÄALVES,PSL,83,"0,01"
JOSê HENRIQUE,NOVO,688,"0,06"
JOSê JUNIOR,AVANTE,134,"0,01"
JOSê MATIAS DESPACHANTE,MDB,186,"0,02"
JOSê MENDES DA SILVA PAPAGAIO,MDB,31,0
JOSê PAULO,CIDADANIA,64,"0,01"
JOSE RENATO O BENÄ«O,PMN,230,"0,02"
JOSê ROBERTO OUTEIRO BETO,PSC,328,"0,03"
JOSE RODRIGUES (ZEZINHO),PODE,48,0
JOSêLIA PPL,REDE,169,"0,01"
JOSIEL  RODRIGUES,REPUBLICANOS,75,"0,01"
JOSUê DA ENFERMAGEM,PV,321,"0,03"
JOSY DA PEDREIRA,PV,44,0
JÈ BORGES,REDE,398,"0,03"
JÈLIA SANT ANA,CIDADANIA,705,"0,06"
JULIANA NORMAND,PSD,793,"0,07"
JULIANA ROQUE,CIDADANIA,204,"0,02"
JULIANA SANTANA,PATRIOTA,6,0
JULIANA ZAULI BAGNO,PSD,414,"0,04"
JULIANO DOS SANTOS,UP,332,"0,03"
JULIANO PARENTONI,PATRIOTA,589,"0,05"
JULIARINA CRUZ,DEM,64,"0,01"
JULIO DO MERCADO CENTRAL,PMN,1092,"0,09"
JÈLIO FESS‚(#),REDE,3037,"0,26"
JULIO TAVARES,PDT,86,"0,01"
JÈNIA SOBRINHO,PTB,229,"0,02"
JUNINHO DA PRACINHA,CIDADANIA,224,"0,02"
JUNINHO DO IAPI PELOTA,PP,806,"0,07"
JUNINHO JORNALISTA,PDT,339,"0,03"
JUNINHO LOS HERMANOS,AVANTE,7810,"0,67"
JUNINHO PAIM,AVANTE,2679,"0,23"
JUNINHO PIZZAIOLO,PODE,579,"0,05"
JUNIO ALEX,SOLIDARIEDADE,249,"0,02"
JUNIOR BRASIL DA ITATIAIA,PTB,1108,"0,09"
JUNIOR GODZILLA,PMN,578,"0,05"
JUSCêLIA LACERDA,REDE,237,"0,02"
JUSCELINO,PT,71,"0,01"
JUSSARA BORGES,PP,278,"0,02"
JUSSARA BRAND«O,PODE,10,0
JUVENIL BAIXINHO DO BAR,AVANTE,124,"0,01"
KALIOPI SOFIA,PSDB,44,0
KARINA PEREIRA,PDT,402,"0,03"
KARINE MIGLES,PROS,5,0
KARINE RAFAELA,PSDB,7,0
KASSINHA,PTB,255,"0,02"
KATHLEEN REIS,REPUBLICANOS,46,0
KATIA ARAÈJO,PTB,69,"0,01"
KATIA VALêRIA,SOLIDARIEDADE,349,"0,03"
KBEÄA GEORGE,PSD,406,"0,03"
KEILA JACQUELINE,REDE,1354,"0,12"
KELINE LIMA DO ESCOLAR,AVANTE,158,"0,01"
KELLY MENDES,PTB,230,"0,02"
KELLY SOUZA,PTC,183,"0,02"
KENIA,PP,63,"0,01"
K“NIA RIBEIRO,PSOL,311,"0,03"
KERISON LOPES,PT,1993,"0,17"
KESIA SOIER,PSD,250,"0,02"
KESSIA CRISTINA,PC do B,269,"0,02"
KET,PROS,4,0
KEY KLAUS KEY SHIMABUKURO,PROS,471,"0,04"
KIDINHO,MDB,559,"0,05"
KIKO BH,PDT,138,"0,01"
KILSON TELES,PSL,151,"0,01"
KUEI BAILE DO FERA,PROS,2517,"0,22"
LAERTE DA AUTO ESCOLA,PSDB,1240,"0,11"
LAFAIETE MENDONÄA,PODE,317,"0,03"
LAGUNA,NOVO,1160,"0,1"
LA÷DE BRIGADO DENADA,PL,77,"0,01"
LAINNIO SOARES,PV,69,"0,01"
LAIS CRUZ,PMN,81,"0,01"
LALµ,PL,176,"0,02"
LANDSTONE,PT,213,"0,02"
LARISSA CALIXTO,PDT,6,0
LAUDICEIA MOTORISTA,PL,67,"0,01"
LAURA COSTA,SOLIDARIEDADE,2017,"0,17"
LAURIMAR PIRES,SOLIDARIEDADE,551,"0,05"
LEA CARDOSO,PSD,99,"0,01"
LEANDRO DO LAVA JATO,AVANTE,254,"0,02"
LEANDRO DO TIROL,PSD,423,"0,04"
LEANDRO MARIANO,PL,44,0
LEANDRO SANTIAGO,PV,177,"0,02"
LENA GOMES,PV,31,0
LEO BAR«O,SOLIDARIEDADE,524,"0,04"
L“O BURGUES,PSL,6190,"0,53"
LêO CRUZ,PT,506,"0,04"
LêO DO SAL«O,PODE,328,"0,03"
LEONARDO ANGELO DA ITATIAIA,CIDADANIA,4273,"0,37"
LEONARDO DIAS,PMN,241,"0,02"
LEONARDO MARTINS TI LELEO,PSL,1940,"0,17"
LEONARDO MATTOS,AVANTE,1656,"0,14"
LEONARDO RODRIGUES,PMN,491,"0,04"
LEONARDO SILVA,CIDADANIA,1226,"0,1"
LEONARDO VIN÷CIUS ARAÈJO,PDT,640,"0,05"
LEONARIO FELIX,PT,82,"0,01"
LE‚NCIO FERREIRA,DC,263,"0,02"
LEONEL RIBEIRO,PDT,363,"0,03"
LEONICE TOLENTINO,PTB,177,"0,02"
LEONOR FERREIRA,REPUBLICANOS,86,"0,01"
LEOZINHO A VOZ DO POVO,PTB,100,"0,01"
LEVITA SILVANA LE«O,PTC,173,"0,01"
LICA DO BARREIRO,PATRIOTA,53,0
LILIAN DA EDUCAÄ«O,PTC,105,"0,01"
LINCOLN MIALARET,PMN,296,"0,03"
LINDOMAR DO GµS,PP,572,"0,05"
LO÷DE GONÄALVES,PODE,3960,"0,34"
LOIRA DO BICHO,PDT,10,0
LORENA NIZER,PSL,101,"0,01"
LORRAINE GONÄALVES,PSDB,8,0
LORRANE RODRIGUES,PSD,527,"0,05"
LOURDES MARIA,PSL,86,"0,01"
LOURIVAL CONSTRUTOR,PTC,353,"0,03"
LÈ CAETANO,PTC,3532,"0,3"
LU DAYRELL,PSDB,99,"0,01"
LU EDUCADORA ,PDT,123,"0,01"
LÈ SILVA,PSDB,244,"0,02"
LUANA DA SORVETERIA,REDE,87,"0,01"
LUANNA RAMALHO,PC do B,285,"0,02"
LUCAS DO CAMPINHO,MDB,417,"0,04"
LUCAS DO VALE,REPUBLICANOS,133,"0,01"
LUCAS FREIRE,PROS,503,"0,04"
LUCAS GOMES,PTC,200,"0,02"
LUCAS JARDIM PRATES,PODE,984,"0,08"
LUCAS JUNIOR,PV,747,"0,06"
LUCAS PITTA,NOVO,2883,"0,25"
LUCAS RODRIGUES,NOVO,312,"0,03"
LUCAS SILVA,NOVO,385,"0,03"
LUCI GODOI,PATRIOTA,25,0
LUCIA ALCANTARA,REPUBLICANOS,248,"0,02"
LUCIANA LANA,REDE,259,"0,02"
LUCIANA RESENDE,DEM,190,"0,02"
LUCIANA TAMEIR«O,DC,0,0
LUCIANA VAZ,PC do B,88,"0,01"
LUCIANA ZAMBALDI,PSB,147,"0,01"
LUCIANO BARCELOS,PSDB,921,"0,08"
LUCIANO DA ADEGA,PODE,230,"0,02"
LÈCIO BOC«O,PSDB,1441,"0,12"
LÈCIO JORGE,CIDADANIA,43,0
LÈCIO PIRES ,PSC,273,"0,02"
LU÷S EVANGELISTA,PSOL,93,"0,01"
LU÷S QUADROS,REDE,413,"0,04"
LUIZ BALBINO,PDT,247,"0,02"
LUIZ CARLOS,PC do B,6,0
LUIZ CARLOS VENCEDOR,PSC,12,0
LUIZ FREIRE,PROS,137,"0,01"
LUIZ GAZOLLA,NOVO,367,"0,03"
LUIZ HENRIQUE,REPUBLICANOS,241,"0,02"
LUIZ HENRIQUE DA LUIZ VIDAS,PSC,3139,"0,27"
LUIZA FERNANDES,PSC,35,0
LUIZA SATHELER,PATRIOTA,109,"0,01"
LUZIA FERREIRA,PTC,304,"0,03"
MACAê EVARISTO,PT,5985,"0,51"
MACALê DO CHUP CHUP,PROS,688,"0,06"
MADRINHA GISLENE LOURDES,SOLIDARIEDADE,202,"0,02"
MAêRCIO OLIVEIRA,PSB,375,"0,03"
MAGALI FONSECA,PV,193,"0,02"
MAGALI SAMPAIO,PV,322,"0,03"
MAGR«O,PL,483,"0,04"
MAGUIL COSTA,PATRIOTA,393,"0,03"
MAKOTA CASSIA KIDOIALE,PSOL,1790,"0,15"
MALU LOPES,MDB,135,"0,01"
MANINHO FêLIX,PSD,5697,"0,49"
MANUEL ARNESINO,PT,612,"0,05"
MARA,MDB,108,"0,01"
MARCELA RICARDO,NOVO,2547,"0,22"
MARCELA SANTANA,PDT,23,0
MARCELA TR‡PIA,NOVO,10741,"0,92"
MARCELA VALENTE,PSL,695,"0,06"
MARCêLIA CARVALHO,PTB,703,"0,06"
MARCELINHO,AVANTE,1306,"0,11"
MARCELO AGUIAR,NOVO,2128,"0,18"
MARCELO CACIANO,PSC,700,"0,06"
MARCELO CARVALHO,PTC,139,"0,01"
MARCELO DA LOTêRICA,PTC,458,"0,04"
MARCELO DAS LIVESBR,PSB,24,0
MARCELO DINIZ,PP,255,"0,02"
MARCELO DO ESCOLAR,PTC,604,"0,05"
MARCELO QUEIROZ,PODE,199,"0,02"
MARCELO SANTOS,DEM,1160,"0,1"
MARCELO ZAMBIA,PODE,181,"0,02"
MARCIA ALVES,DEM,41,0
MARCIA BRAGA,PATRIOTA,209,"0,02"
MARCIA CATIGURIA,DEM,152,"0,01"
MµRCIA DA FARMµCIA,PATRIOTA,811,"0,07"
MARCIA PRUDENTE,PV,1003,"0,09"
MARC÷LIO,PTB,139,"0,01"
MARCINHO DO JORNAL NOROESTE,PL,221,"0,02"
MARCIO ALMEIDA DA AMBUL∂NCIA,SOLIDARIEDADE,705,"0,06"
MµRCIO ANDRADE,PP,371,"0,03"
MµRCIO BOMBOM,PSC,0,0
MARCIO CASTOR,PRTB,112,"0,01"
MµRCIO DA ONG,PTC,622,"0,05"
MµRCIO MARTINS ATOR,MDB,146,"0,01"
MARCIO ROBERTO,PL,39,0
MARCIO TEODORO,PSC,492,"0,04"
MµRCIO TIA PENHA,DEM,476,"0,04"
MARCO ROCHA,DEM,222,"0,02"
MARCOS,PSB,84,"0,01"
MARCOS AURêLIO VOLTA COBRADOR,PTC,1414,"0,12"
MARCOS BARRETO,PTC,458,"0,04"
MARCOS BORGES,PTB,2861,"0,24"
MARCOS CRISPIM,PSC,3355,"0,29"
MARCOS LIMA POLICIAL FEDERAL,PP,288,"0,02"
MARCOS LOPES,PTB,944,"0,08"
MARCOS MENDES,PMN,75,"0,01"
MARCOS OLIVEIRA,PC do B,661,"0,06"
MARCOS PAULO  PORKIN,REDE,232,"0,02"
MARCOS SARITA,PATRIOTA,674,"0,06"
MARCUS  LIMA,PRTB,177,"0,02"
MARCUS PAYX«O,PROS,325,"0,03"
MARCUS RUSSO,AVANTE,638,"0,05"
MARCYA LOPES,PMN,25,0
MARDEN PIMENTA,PTB,329,"0,03"
MARGARETH MEG,PROS,356,"0,03"
MARIA ALICE,PROS,271,"0,02"
MARIA ANTONIA DA UMCA,PSL,1242,"0,11"
MARIA AUXILIADORA  DODORA,PMN,22,0
MARIA CLARA,PROS,181,"0,02"
MARIA DA CONSOLAÄ«O,PSOL,4199,"0,36"
MARIA DO PROJETO,AVANTE,146,"0,01"
MARIA ELISA MEDEIROS,SOLIDARIEDADE,792,"0,07"
MARIA LUCIA SCARPELLI,PSD,2648,"0,23"
MARIA NEIDE,PV,81,"0,01"
MARIA SUELY DELEGADA,PMN,29,0
MARIAH BROCHADO,REDE,988,"0,08"
MARIANA BATISTA,PP,359,"0,03"
MARIANNA VERSIANI,PCB,272,"0,02"
MARILDA PORTELA,CIDADANIA,4425,"0,38"
MARILDA SILVA,PSB,79,"0,01"
MARILENE TEIXEIRA,PRTB,20,0
MARINA BARROS,REDE,648,"0,06"
MARINA PORCARO,PV,5,0
MARINALVA DO MIX BURGUER,PL,9,0
MARISA DO BOLO,PATRIOTA,681,"0,06"
MARISVALDO DO FERRO VELHO,MDB,159,"0,01"
MARLENE DE SOUZA,PV,116,"0,01"
MARLI DO PROJETO,PSB,63,"0,01"
MARLI SAÈDE,PC do B,110,"0,01"
MARLON SILVEIRA,REDE,185,"0,02"
MARLÈCIA - TIA LÈ,REDE,775,"0,07"
MARQUIM DO PAPAGAIO,SOLIDARIEDADE,181,"0,02"
MARQUINHO,PSDB,83,"0,01"
MARQUINHO FICHE,PTC,151,"0,01"
MARQUINHOS DA FEIRA HIPPIE,DEM,101,"0,01"
MARQUINHOS NAVES,SOLIDARIEDADE,1391,"0,12"
MARTA DIAS,PTC,108,"0,01"
MARTINHO GREGORIO ,PMN,7,0
MARY SANTOS LORA DA COMUNIDADE,PTB,56,0
MARY SOARES DO SINTEL,PT,50,0
MATEUS CARVALHO,PATRIOTA,872,"0,07"
MATEUS DO ‚NIBUS,PROS,75,"0,01"
MAURICIO - MAURICINHO,PSDB,51,0
MAURICIO DO CHURRASCO,PSDB,55,0
MAURICIO DOS PASSOS,PSL,101,"0,01"
MAUR÷CIO MARQUES,CIDADANIA,282,"0,02"
MAURICIO VIDAL,PSL,456,"0,04"
MAURICIO VITOR,PV,160,"0,01"
MAUR÷LIO PEDROSA,PROS,900,"0,08"
MAURILIO QUEIROZ,NOVO,387,"0,03"
MAURO ANT‚NIO,MDB,246,"0,02"
MAURO SCARPONI,PSB,125,"0,01"
MAURO SIM,PSL,371,"0,03"
MAX DO VALE,PROS,193,"0,02"
MAX LOTUS,SOLIDARIEDADE,144,"0,01"
MAX Pê DE CACHORRO COCA COLA,PL,89,"0,01"
MEIRE DO BARREIRO,PSDB,619,"0,05"
MEIRE SILVA,PDT,53,0
MELISSA,PROS,88,"0,01"
MENDONÄA,PP,1518,"0,13"
MESTRE CHICOREBA,PC do B,197,"0,02"
MESTRE LIM,PV,306,"0,03"
MICAELA,PL,52,0
MICHEL DA MELK,PROS,2937,"0,25"
MICHELE INACIA,PTC,33,0
MICHELINE OLIVEIRA,PODE,76,"0,01"
MICHELLE DA CRECHE,PP,2806,"0,24"
MIGUEL BISCOITEIRO,DEM,150,"0,01"
MILO DA DISTRIBUIDORA,PTC,2316,"0,2"
MILTINHO CGE,PDT,4176,"0,36"
MIRAMAR,PV,33,0
MISAEL DA RADIO FAVELA,PMN,984,"0,08"
MISSIONµRIA ANDRêIA RIBEIRO,AVANTE,220,"0,02"
MISSIONµRIA CIDA,PSB,64,"0,01"
MISSIONµRIA CLêSSIA,AVANTE,85,"0,01"
MISSIONµRIA IRACEMA,PSB,548,"0,05"
MISSIONµRIA LILIAN DIAS,MDB,379,"0,03"
MISSIONARIA MARILANDE BRAND«O,REPUBLICANOS,154,"0,01"
MISSIONµRIA VERA LUCIA,PMN,42,0
MOACIR BELOTE BELLOLOTTE,PTC,97,"0,01"
MOAMED RACHID,PTB,132,"0,01"
MOISêS PINHEIRO,PV,431,"0,04"
MONICA FERREIRA,PDT,44,0
MONIQUE DO ODONTOL‡GICO,SOLIDARIEDADE,179,"0,02"
MUCA,PL,183,"0,02"
MÈCIO MASE,PTC,300,"0,03"
MULHERES NEGRAS SIM,PSOL,2141,"0,18"
MUTUM BATERIAS,PATRIOTA,775,"0,07"
NAJLA RODRIGUES,PRTB,1,0
NANAN DO GALO DOIDO,PTB,438,"0,04"
NANDO CABELEIREIRO,PP,124,"0,01"
NARCISO JOSE,PSL,1516,"0,13"
NATALIA ESTHER,PSDB,58,0
NATµLIA GRANATO,PSOL,380,"0,03"
NATµLIA SEVERINO,AVANTE,538,"0,05"
NATALIE,NOVO,708,"0,06"
NATHµLIA MORAES,PTB,442,"0,04"
NATY GOMES,PROS,0,0
NAYSSA LYERE,PROS,2,0
NEGO D“,PSOL,601,"0,05"
NEIDE DA PADARIA,DC,283,"0,02"
NEIDE DUARTE,PODE,16,0
NEIDINHA PACHECO,PT,302,"0,03"
NEILA BATISTA,PT,2922,"0,25"
NELI MARTINS,SOLIDARIEDADE,284,"0,02"
NELMA TAMIRIS,PSDB,6,0
NELSON DE MELLO DANTAS FILHO,PDT,308,"0,03"
NELY AQUINO,PODE,6788,"0,58"
NELY VIEIRA,DC,50,0
NENECA DO POV«O,PL,132,"0,01"
NENêM DA FARMµCIA,PTC,4460,"0,38"
NERISVALDO BATISTA,DEM,201,"0,02"
NETO,REDE,888,"0,08"
NEUSINHA,PRTB,95,"0,01"
NEY MOUR«O,CIDADANIA,270,"0,02"
NEY ORNELAS,AVANTE,287,"0,02"
NICO FUTBURGUER,PTC,749,"0,06"
NICOLAU DA RUA ACRE,PTC,42,0
NICOLE DIAS,PT,183,"0,02"
NIKOLAS FERREIRA,PRTB,29388,"2,52"
NILD«O S‡ ALEGRIA,PROS,162,"0,01"
NIRLANDO OLIVEIRA,PSL,193,"0,02"
NIVALDO DAS VASSOURAS,PSDB,439,"0,04"
NIVALDO NUNES,PSD,284,"0,02"
N÷VIA SANTOS,SOLIDARIEDADE,4,0
NOBRU,PATRIOTA,136,"0,01"
NONATO DO CRUZEIRO,AVANTE,409,"0,04"
NORMA VEN∂NCIO,MDB,359,"0,03"
N‡S POR N‡S,PSOL,1930,"0,17"
NUNES BACHAREL,PC do B,53,0
OBADIAS PAIX«O,PSDB,171,"0,01"
ODILON ARAÈJO,DEM,126,"0,01"
ODILON PAIVA,PSOL,122,"0,01"
OILSO FONSECA,DEM,98,"0,01"
ONILSON CASSIANO,PSB,136,"0,01"
ONOFRE MAIA,CIDADANIA,33,0
OROZANA PRATES,PSD,793,"0,07"
OSCAR NUNES,PSB,61,"0,01"
OSEAS SOARES,PMN,166,"0,01"
OSVALDO DANTAS,REPUBLICANOS,4,0
OTµVIO MAIA,NOVO,1611,"0,14"
PABLITO,PODE,263,"0,02"
PABLO FIGUEIREDO,REDE,2652,"0,23"
PADILHA,PSD,708,"0,06"
PADRE JEFFERSON,PL,296,"0,03"
PADRE SµVIO,MDB,1343,"0,11"
PASCOAL,PSC,123,"0,01"
PASSARINHO,PC do B,163,"0,01"
PASTOR ANTONIO,PL,159,"0,01"
PASTOR ARTHUR MOURA,MDB,50,0
PASTOR ARTUR,DEM,578,"0,05"
PASTOR JUNIOR VILA VERDE,PSDB,342,"0,03"
PASTOR LAZARO,PSB,198,"0,02"
PASTOR RICHARD SANDER,DC,183,"0,02"
PASTOR WARLEI DIAS,PODE,1784,"0,15"
PASTORA ANA,PL,49,0
PASTORA CARLA,PSC,360,"0,03"
PASTORA JACQUELINE LELIS,PL,63,"0,01"
PASTORA LUCINêIA,MDB,129,"0,01"
PASTORA SILVANA,PTC,27,0
PATI LEIVA,PSD,519,"0,04"
PATR÷CIA DIAS,PTB,55,0
PATR÷CIA MARCELINO,PC do B,37,0
PATR÷CIA MIRANDA,PTB,198,"0,02"
PATRICIA MIRANDA (PATH),PATRIOTA,230,"0,02"
PATRICIA REGINA,DC,67,"0,01"
PATR÷CIO THOMê,PP,462,"0,04"
PATY DO CHEVETTE,DEM,141,"0,01"
PAULA ANDRADE,PDT,13,0
PAULA CAMARGOS,PSDB,380,"0,03"
PAUL«O,PC do B,373,"0,03"
PAULINHO ALELUIA,REPUBLICANOS,266,"0,02"
PAULINHO CABELEREIRO,PTB,393,"0,03"
PAULO COSTA,PL,146,"0,01"
PAULO DA AG“NCIA DE CARROS,REPUBLICANOS,306,"0,03"
PAULO DO MERCADO,MDB,325,"0,03"
PAULO FERREIRA,PRTB,218,"0,02"
PAULO HENRIQUE PH,SOLIDARIEDADE,1001,"0,09"
PAULO LOBATO,PL,376,"0,03"
PAULO NOGUEIRA BARê,PODE,33,0
PAULO ROBERTO,PRTB,235,"0,02"
PAULO V÷TOR VARGAS,NOVO,402,"0,03"
PC SANTOS,REDE,1138,"0,1"
PEDR«O DO BAIRRO S«O JOSê,PL,118,"0,01"
PEDR«O DO DEP‡SITO,CIDADANIA,4241,"0,36"
PEDRO BUENO,CIDADANIA,3102,"0,27"
PEDRO GABRIEL,PCB,45,0
PEDRO JORGE,PC do B,30,0
PEDRO LêLIS,PROS,1256,"0,11"
PEDRO PATRUS,PT,4268,"0,37"
PEDRO SALES,PSB,163,"0,01"
PEDRO SANTANA,AVANTE,1017,"0,09"
PEDRO VIN÷CIUS,PL,54,0
PELE CHAVEIRO,PSC,77,"0,01"
PELê FILETO,PSDB,98,"0,01"
PERISVALDO RODRIGUES,PT,563,"0,05"
PETERSON SILVA,PSC,52,0
PETR‚NIO MATIAS,REDE,2439,"0,21"
PETRONIO MIRANDA,PSL,46,0
PIMENTA DO DEP‡SITO,DEM,463,"0,04"
PIRES,PMN,168,"0,01"
PITA CAMPINENSE,CIDADANIA,112,"0,01"
PITANGUI DO ESPORTE,REPUBLICANOS,840,"0,07"
PLURAL,UP,592,"0,05"
POLIANA DO MLB,UP,1973,"0,17"
POLLETO NEVES-PALHAÄO BISCOITO,PL,206,"0,02"
POLLY DO AMARAL,PSOL,2100,"0,18"
POMPITO LOVE,PV,131,"0,01"
PR JORGE LEAL,PSL,122,"0,01"
PREGUINHO MEU REI,PTB,357,"0,03"
PRETO,DEM,3587,"0,31"
PRETO DA PRETONET,PTB,480,"0,04"
PRICILA CERDEIRA,PSL,135,"0,01"
PRISCILA TORRES,REPUBLICANOS,9,0
PROF DANIEL PORTUGAL,PODE,689,"0,06"
